[2025-05-21 03:59:07.409255] Starting Kafka producer...
[2025-05-21 03:59:07.523226] Sent record 1
[2025-05-21 03:59:08.523845] Sent record 2
[2025-05-21 03:59:09.524599] Sent record 3
[2025-05-21 03:59:10.525225] Sent record 4
[2025-05-21 03:59:11.525750] Sent record 5
[2025-05-21 03:59:12.526366] Sent record 6
[2025-05-21 03:59:13.527201] Sent record 7
[2025-05-21 03:59:14.527985] Sent record 10
[2025-05-21 03:59:15.528610] Sent record 11
[2025-05-21 03:59:16.529241] Sent record 8
[2025-05-21 03:59:17.529770] Sent record 9
[2025-05-21 03:59:18.530426] Sent record 12
[2025-05-21 03:59:19.530939] Sent record 13
[2025-05-21 03:59:20.531584] Sent record 14
[2025-05-21 03:59:21.532249] Sent record 15
[2025-05-21 03:59:22.536355] Sent record 16
[2025-05-21 03:59:23.537400] Sent record 17
[2025-05-21 03:59:24.538498] Sent record 18
[2025-05-21 03:59:25.539763] Sent record 19
[2025-05-21 03:59:26.541072] Sent record 23
[2025-05-21 03:59:27.541820] Sent record 22
[2025-05-21 03:59:28.545679] Sent record 21
[2025-05-21 03:59:29.548098] Sent record 20
[2025-05-21 03:59:30.559201] Sent record 24
[2025-05-21 03:59:31.563228] Sent record 25
[2025-05-21 03:59:32.564582] Sent record 26
[2025-05-21 03:59:33.565901] Sent record 27
[2025-05-21 03:59:34.566922] Sent record 28
[2025-05-21 03:59:35.567778] Sent record 29
[2025-05-21 03:59:36.568277] Sent record 31
[2025-05-21 03:59:37.569245] Sent record 32
[2025-05-21 03:59:38.570111] Sent record 30
[2025-05-21 03:59:39.570926] Sent record 33
[2025-05-21 03:59:40.571452] Sent record 34
[2025-05-21 03:59:41.573354] Sent record 35
[2025-05-21 03:59:42.574522] Sent record 36
[2025-05-21 03:59:43.575719] Sent record 37
[2025-05-21 03:59:44.578149] Sent record 38
[2025-05-21 03:59:45.578953] Sent record 39
[2025-05-21 03:59:46.579731] Sent record 41
[2025-05-21 03:59:47.580429] Sent record 40
[2025-05-21 03:59:48.581162] Sent record 43
[2025-05-21 03:59:49.581988] Sent record 44
[2025-05-21 03:59:50.582690] Sent record 42
[2025-05-21 03:59:51.583596] Sent record 45
[2025-05-21 03:59:52.584470] Sent record 46
[2025-05-21 03:59:53.585279] Sent record 47
[2025-05-21 03:59:54.586084] Sent record 48
[2025-05-21 03:59:55.586600] Sent record 49
[2025-05-21 03:59:56.587450] Sent record 50
[2025-05-21 03:59:57.588069] Sent record 51
[2025-05-21 03:59:58.588571] Sent record 52
[2025-05-21 03:59:59.589498] Sent record 58
[2025-05-21 04:00:00.592200] Sent record 57
[2025-05-21 04:00:01.592871] Sent record 56
[2025-05-21 04:00:02.594931] Sent record 54
[2025-05-21 04:00:03.595535] Sent record 53
[2025-05-21 04:00:04.596266] Sent record 55
[2025-05-21 04:00:05.598692] Sent record 63
[2025-05-21 04:00:06.599445] Sent record 59
[2025-05-21 04:00:07.599995] Sent record 60
[2025-05-21 04:00:08.600789] Sent record 61
[2025-05-21 04:00:09.601428] Sent record 62
[2025-05-21 04:00:10.602047] Sent record 65
[2025-05-21 04:00:11.602827] Sent record 64
[2025-05-21 04:00:12.603705] Sent record 66
[2025-05-21 04:00:13.604425] Sent record 67
[2025-05-21 04:00:14.605149] Sent record 68
[2025-05-21 04:00:15.605979] Sent record 69
[2025-05-21 04:00:16.606892] Sent record 70
[2025-05-21 04:00:17.607576] Sent record 74
[2025-05-21 04:00:18.608778] Sent record 73
[2025-05-21 04:00:19.609296] Sent record 75
[2025-05-21 04:00:20.610325] Sent record 71
[2025-05-21 04:00:21.611145] Sent record 72
[2025-05-21 04:00:22.611840] Sent record 76
[2025-05-21 04:00:23.612639] Sent record 77
[2025-05-21 04:00:24.613371] Sent record 78
[2025-05-21 04:00:25.614188] Sent record 83
